lib	class	type	name	resolution	detail
etc	Etc::Passwd	#	uclass	env	Etc::Passwd は libc 由来の Struct でメンバー構成が OS 依存(例: age/change/comment/expire/quota/uclass は BSD 系のみ、vhid は FreeBSD の CARP 関連フィールド)。このサンドボックス(Linux)には無いだけで、対象 OS では存在しうる。aggregate.rb の PLATFORM_CLASSES(Socket/Etc の `::` 定数)と同種の環境要因。実測: Etc::Passwd.members(またはinstance_methods) に uclass が含まれない / 元判定: Etc::Passwd は存在するが uclass はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(Etc::Passwd は存在するが uclass はどの形(instance/singleton/const)でも存在しない)
etc	Etc::Passwd	#	uclass=	env	Etc::Passwd は libc 由来の Struct でメンバー構成が OS 依存(例: age/change/comment/expire/quota/uclass は BSD 系のみ、vhid は FreeBSD の CARP 関連フィールド)。このサンドボックス(Linux)には無いだけで、対象 OS では存在しうる。aggregate.rb の PLATFORM_CLASSES(Socket/Etc の `::` 定数)と同種の環境要因。実測: Etc::Passwd.members(またはinstance_methods) に uclass= が含まれない / 元判定: Etc::Passwd は存在するが uclass= はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(Etc::Passwd は存在するが uclass= はどの形(instance/singleton/const)でも存在しない)
fiddle	Fiddle	.	win32_last_error	not-found	Fiddle 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): last_error, last_error= / 4.0でも同様に not-found(Fiddle 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): last_error=, last_error)
fiddle	Fiddle	.	win32_last_error=	not-found	Fiddle 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): last_error, last_error= / 4.0でも同様に not-found(Fiddle 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): last_error=, last_error)
fiddle	Fiddle::Function	::	STDCALL	not-found	Fiddle::Function は存在するが STDCALL はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(Fiddle::Function は存在するが STDCALL はどの形(instance/singleton/const)でも存在しない)
fiddle/import	Fiddle::CStruct	.	malloc	not-found	Fiddle::CStruct は存在するが malloc はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(Fiddle::CStruct は存在するが malloc はどの形(instance/singleton/const)でも存在しない)
fiddle/import	Fiddle::CStruct	.	size	not-found	Fiddle::CStruct は存在するが size はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(Fiddle::CStruct は存在するが size はどの形(instance/singleton/const)でも存在しない)
fiddle/import	Fiddle::CStruct	#	to_i	not-found	Fiddle::CStruct 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): to_h / 4.0でも同様に not-found(Fiddle::CStruct 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): to_h)
fiddle/import	Fiddle::CStruct	#	to_ptr	not-found	Fiddle::CStruct は存在するが to_ptr はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(Fiddle::CStruct は存在するが to_ptr はどの形(instance/singleton/const)でも存在しない)
irb/context	IRB::Context	#	debug?	not-found	IRB::Context 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): with_debugger=, with_debugger / 4.0でも同様に not-found(IRB::Context 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): with_debugger=, with_debugger)
irb/context	IRB::Context	#	debug_level	not-found	IRB::Context は存在するが debug_level はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(IRB::Context は存在するが debug_level はどの形(instance/singleton/const)でも存在しない)
irb/context	IRB::Context	#	debug_level=	not-found	IRB::Context は存在するが debug_level= はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(IRB::Context は存在するが debug_level= はどの形(instance/singleton/const)でも存在しない)
irb/ext/tracer	IRB::Context	#	use_tracer	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
irb/ext/tracer	IRB::Context	#	use_tracer?	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
irb/input-method	IRB::InputMethod	#	readable_atfer_eof?	not-found	IRB::InputMethod 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): readable_after_eof? / 4.0でも同様に not-found(IRB::InputMethod 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): readable_after_eof?)
irb/input-method	IRB::ReadlineInputMethod	#	readable_atfer_eof?	not-found	IRB::ReadlineInputMethod 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): eof? / 4.0でも同様に not-found(IRB::ReadlineInputMethod 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): eof?)
irb/input-method	IRB::StdioInputMethod	#	readable_atfer_eof?	not-found	IRB::StdioInputMethod 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): readable_after_eof?, eof? / 4.0でも同様に not-found(IRB::StdioInputMethod 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): readable_after_eof?, eof?)
irb/magic-file	IRB::MagicFile	.	ENCODING_SPEC_RE	env	ライブラリ irb/magic-file 自体が 3.4/4.0 のどちらでも require できない(この検証環境で使える Ruby バージョンの範囲では実行時検証が不能。ページ front matter の until/since 指定を要確認)
json	JSON	::	VARIANT_BINARY	not-found	JSON は存在するが VARIANT_BINARY はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(JSON は存在するが VARIANT_BINARY はどの形(instance/singleton/const)でも存在しない)
json	JSON::Generator::GeneratorMethods::Array	#	to_json	renamed-class:Array	候補(# で一致): Array
json	JSON::Generator::GeneratorMethods::FalseClass	#	to_json	renamed-class:FalseClass	候補(# で一致): FalseClass
json	JSON::Generator::GeneratorMethods::Float	#	to_json	renamed-class:Float	候補(# で一致): Float, FloatDomainError
json	JSON::Generator::GeneratorMethods::Hash	#	to_json	renamed-class:Hash	候補(# で一致): Hash
json	JSON::Generator::GeneratorMethods::Integer	#	to_json	renamed-class:Integer	候補(# で一致): Integer
json	JSON::Generator::GeneratorMethods::NilClass	#	to_json	renamed-class:NilClass	候補(# で一致): NilClass
json	JSON::Generator::GeneratorMethods::Object	#	to_json	renamed-class:Object	候補(# で一致): Object, ObjectSpace::WeakKeyMap, ObjectSpace::WeakMap
json	JSON::Generator::GeneratorMethods::String	#	to_json	renamed-class:String	候補(# で一致): String, StringIO
json	JSON::Generator::GeneratorMethods::String	#	to_json_raw	not-found	類似クラス名(String, StringIO)は見つかったが該当メソッド/定数は無い / 4.0でも同様に not-found(類似クラス名(String, JSON::Ext::Generator::GeneratorMethods::String, StringIO)は見つかったが該当メソッド/定数は無い)
json	JSON::Generator::GeneratorMethods::String	#	to_json_raw_object	not-found	類似クラス名(String, StringIO)は見つかったが該当メソッド/定数は無い / 4.0でも同様に not-found(類似クラス名(String, JSON::Ext::Generator::GeneratorMethods::String, StringIO)は見つかったが該当メソッド/定数は無い)
json	JSON::Generator::GeneratorMethods::String::Extend	.	json_create	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
json	JSON::Generator::GeneratorMethods::TrueClass	#	to_json	renamed-class:TrueClass	候補(# で一致): TrueClass
mutex_m	Mutex_m	#	lock	not-found	Mutex_m 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): mu_locked?, mu_try_lock, mu_lock / 4.0でも同様に not-found(Mutex_m 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): mu_locked?, mu_try_lock, mu_lock)
mutex_m	Mutex_m	#	locked?	not-found	Mutex_m 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): mu_locked? / 4.0でも同様に not-found(Mutex_m 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): mu_locked?)
mutex_m	Mutex_m	#	synchronize	not-found	Mutex_m 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): mu_synchronize / 4.0でも同様に not-found(Mutex_m 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): mu_synchronize)
mutex_m	Mutex_m	#	try_lock	not-found	Mutex_m 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): mu_try_lock / 4.0でも同様に not-found(Mutex_m 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): mu_try_lock)
mutex_m	Mutex_m	#	unlock	not-found	Mutex_m 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): mu_lock, mu_unlock / 4.0でも同様に not-found(Mutex_m 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): mu_lock, mu_unlock)
net/http	Net::HTTPHeader	#	method	not-found	クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。Net::HTTPHeader を include する具象クラス(Net::HTTPNetworkAuthenticationRequired, Net::HTTPNotExtended, Net::HTTPLoopDetected, Net::HTTPInsufficientStorage, Net::HTTPVariantAlsoNegotiates, Net::HTTPVersionNotSupported, Net::HTTPGatewayTimeout, Net::HTTPServiceUnavailable, Net::HTTPBadGateway, Net::HTTPNotImplemented, Net::HTTPInternalServerError, Net::HTTPUnavailableForLegalReasons, Net::HTTPRequestHeaderFieldsTooLarge, Net::HTTPTooManyRequests, Net::HTTPPreconditionRequired, Net::HTTPUpgradeRequired, Net::HTTPFailedDependency, Net::HTTPLocked, Net::HTTPUnprocessableEntity, Net::HTTPMisdirectedRequest, Net::HTTPExpectationFailed, Net::HTTPRangeNotSatisfiable, Net::HTTPUnsupportedMediaType, Net::HTTPURITooLong, Net::HTTPPayloadTooLarge, Net::HTTPPreconditionFailed, Net::HTTPLengthRequired, Net::HTTPGone, Net::HTTPConflict, Net::HTTPRequestTimeout, Net::HTTPProxyAuthenticationRequired, Net::HTTPNotAcceptable, Net::HTTPMethodNotAllowed, Net::HTTPNotFound, Net::HTTPForbidden, Net::HTTPPaymentRequired, Net::HTTPUnauthorized, Net::HTTPBadRequest, Net::HTTPPermanentRedirect, Net::HTTPTemporaryRedirect, Net::HTTPUseProxy, Net::HTTPNotModified, Net::HTTPSeeOther, Net::HTTPFound, Net::HTTPMovedPermanently, Net::HTTPMultipleChoices, Net::HTTPIMUsed, Net::HTTPAlreadyReported, Net::HTTPMultiStatus, Net::HTTPPartialContent, Net::HTTPResetContent, Net::HTTPNoContent, Net::HTTPNonAuthoritativeInformation, Net::HTTPAccepted, Net::HTTPCreated, Net::HTTPOK, Net::HTTPEarlyHints, Net::HTTPProcessing, Net::HTTPSwitchProtocol, Net::HTTPContinue, Net::HTTPServerError, Net::HTTPClientError, Net::HTTPRedirection, Net::HTTPSuccess, Net::HTTPInformation, Net::HTTPUnknownResponse, Net::HTTPResponse, Net::HTTP::Unlock, Net::HTTP::Lock, Net::HTTP::Move, Net::HTTP::Copy, Net::HTTP::Mkcol, Net::HTTP::Proppatch, Net::HTTP::Propfind, Net::HTTP::Patch, Net::HTTP::Trace, Net::HTTP::Options, Net::HTTP::Delete, Net::HTTP::Put, Net::HTTP::Post, Net::HTTP::Head, Net::HTTP::Get, Net::HTTPRequest, Net::HTTPGenericRequest)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界) / 4.0でも同様に not-found(クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。Net::HTTPHeader を include する具象クラス(Net::HTTPNetworkAuthenticationRequired, Net::HTTPNotExtended, Net::HTTPLoopDetected, Net::HTTPInsufficientStorage, Net::HTTPVariantAlsoNegotiates, Net::HTTPVersionNotSupported, Net::HTTPGatewayTimeout, Net::HTTPServiceUnavailable, Net::HTTPBadGateway, Net::HTTPNotImplemented, Net::HTTPInternalServerError, Net::HTTPUnavailableForLegalReasons, Net::HTTPRequestHeaderFieldsTooLarge, Net::HTTPTooManyRequests, Net::HTTPPreconditionRequired, Net::HTTPUpgradeRequired, Net::HTTPFailedDependency, Net::HTTPLocked, Net::HTTPUnprocessableEntity, Net::HTTPMisdirectedRequest, Net::HTTPExpectationFailed, Net::HTTPRangeNotSatisfiable, Net::HTTPUnsupportedMediaType, Net::HTTPURITooLong, Net::HTTPPayloadTooLarge, Net::HTTPPreconditionFailed, Net::HTTPLengthRequired, Net::HTTPGone, Net::HTTPConflict, Net::HTTPRequestTimeout, Net::HTTPProxyAuthenticationRequired, Net::HTTPNotAcceptable, Net::HTTPMethodNotAllowed, Net::HTTPNotFound, Net::HTTPForbidden, Net::HTTPPaymentRequired, Net::HTTPUnauthorized, Net::HTTPBadRequest, Net::HTTPPermanentRedirect, Net::HTTPTemporaryRedirect, Net::HTTPUseProxy, Net::HTTPNotModified, Net::HTTPSeeOther, Net::HTTPFound, Net::HTTPMovedPermanently, Net::HTTPMultipleChoices, Net::HTTPIMUsed, Net::HTTPAlreadyReported, Net::HTTPMultiStatus, Net::HTTPPartialContent, Net::HTTPResetContent, Net::HTTPNoContent, Net::HTTPNonAuthoritativeInformation, Net::HTTPAccepted, Net::HTTPCreated, Net::HTTPOK, Net::HTTPServerError, Net::HTTPEarlyHints, Net::HTTPProcessing, Net::HTTPSwitchProtocol, Net::HTTPContinue, Net::HTTPClientError, Net::HTTPRedirection, Net::HTTPSuccess, Net::HTTPInformation, Net::HTTPUnknownResponse, Net::HTTPResponse, Net::HTTP::Unlock, Net::HTTP::Lock, Net::HTTP::Move, Net::HTTP::Copy, Net::HTTP::Mkcol, Net::HTTP::Proppatch, Net::HTTP::Propfind, Net::HTTP::Patch, Net::HTTP::Trace, Net::HTTP::Options, Net::HTTP::Delete, Net::HTTP::Put, Net::HTTP::Post, Net::HTTP::Head, Net::HTTP::Get, Net::HTTPRequest, Net::HTTPGenericRequest)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界))
net/http	Net::HTTPResponse	#	reader_header	not-found	Net::HTTPResponse 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): read_header, header / 4.0でも同様に not-found(Net::HTTPResponse 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): read_header, header)
net/pop	Net::POP3	::	Revision	not-found	Net::POP3 は存在するが Revision はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(Net::POP3 は存在するが Revision はどの形(instance/singleton/const)でも存在しない)
openssl	OpenSSL::Digest::DSS	.	digest	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
openssl	OpenSSL::Digest::DSS	.	hexdigest	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
openssl	OpenSSL::Digest::DSS	.	new	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
openssl	OpenSSL::Digest::DSS1	.	digest	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
openssl	OpenSSL::Digest::DSS1	.	hexdigest	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
openssl	OpenSSL::Digest::DSS1	.	new	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
openssl	OpenSSL::Digest::MD2	.	digest	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
openssl	OpenSSL::Digest::MD2	.	hexdigest	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
openssl	OpenSSL::Digest::MD2	.	new	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
openssl	OpenSSL::Digest::MDC2	.	digest	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
openssl	OpenSSL::Digest::MDC2	.	hexdigest	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
openssl	OpenSSL::Digest::MDC2	.	new	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
openssl	OpenSSL::Digest::SHA	.	digest	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
